short_size,long_size,v_enter,v_exit,trailing_sl,sma,PV,trades
20,20,0.5,1.0,1.0,10,0,0
20,20,0.5,1.0,1.02,10,0,0
20,20,0.5,1.0,1.04,10,0,0
20,20,0.5,1.0,1.06,10,0,0
20,20,0.5,1.0,1.08,10,0,0
20,20,0.5,1.0,1.1,10,0,0
20,20,0.5,1.1,1.0,10,0,0
20,20,0.5,1.1,1.02,10,0,0
20,20,0.5,1.1,1.04,10,0,0
20,20,0.5,1.1,1.06,10,0,0
20,20,0.5,1.1,1.08,10,0,0
20,20,0.5,1.1,1.1,10,0,0
22,20,0.5,1.0,1.0,10,0,0
22,20,0.5,1.0,1.02,10,0,0
22,20,0.5,1.0,1.04,10,0,0
22,20,0.5,1.0,1.06,10,0,0
22,20,0.5,1.0,1.08,10,0,0
22,20,0.5,1.0,1.1,10,0,0
22,20,0.5,1.1,1.0,10,0,0
22,20,0.5,1.1,1.02,10,0,0
22,20,0.5,1.1,1.04,10,0,0
22,20,0.5,1.1,1.06,10,0,0
22,20,0.5,1.1,1.08,10,0,0
22,20,0.5,1.1,1.1,10,0,0
24,20,0.5,1.0,1.0,10,0,0
24,20,0.5,1.0,1.02,10,0,0
24,20,0.5,1.0,1.04,10,0,0
24,20,0.5,1.0,1.06,10,0,0
24,20,0.5,1.0,1.08,10,0,0
24,20,0.5,1.0,1.1,10,0,0
24,20,0.5,1.1,1.0,10,0,0
24,20,0.5,1.1,1.02,10,0,0
24,20,0.5,1.1,1.04,10,0,0
24,20,0.5,1.1,1.06,10,0,0
24,20,0.5,1.1,1.08,10,0,0
24,20,0.5,1.1,1.1,10,0,0
